temperature,humidity,light_intensity,motion,label
28.6,65.7,810,0,phong_trong
28.3,66.2,760,0,phong_trong
29.2,65.0,920,0,phong_trong
28.8,65.9,30,0,phong_trong
28.7,65.4,870,0,phong_trong
28.8,65.8,1150,0,phong_trong
28.4,66.7,480,0,phong_trong
29.3,64.7,980,0,phong_trong
28.6,65.3,60,0,phong_trong
28.2,66.9,890,0,phong_trong
28.5,65.6,820,0,phong_trong
28.1,66.4,770,0,phong_trong
29.0,65.2,930,0,phong_trong
28.9,65.9,25,0,phong_trong
28.7,65.5,880,0,phong_trong
28.8,65.7,1120,0,phong_trong
28.5,66.6,460,0,phong_trong
29.4,64.6,960,0,phong_trong
28.7,65.2,55,0,phong_trong
28.3,66.8,900,0,phong_trong
30.4,68.1,140,1,can_bat_den
30.1,67.4,70,1,can_bat_den
31.0,68.9,240,1,can_bat_den
30.7,68.7,110,1,can_bat_den
30.5,68.0,170,1,can_bat_den
30.2,67.7,270,1,can_bat_den
31.1,69.1,80,1,can_bat_den
30.8,68.4,120,1,can_bat_den
30.6,68.2,150,1,can_bat_den
30.3,67.8,200,1,can_bat_den
30.5,68.3,150,1,can_bat_den
30.2,67.6,90,1,can_bat_den
31.2,69.1,260,1,can_bat_den
30.9,68.9,130,1,can_bat_den
30.7,68.4,180,1,can_bat_den
30.4,68.0,290,1,can_bat_den
31.3,69.4,100,1,can_bat_den
31.0,68.7,140,1,can_bat_den
30.8,68.5,170,1,can_bat_den
30.5,68.1,220,1,can_bat_den
32.4,70.0,510,1,can_bat_quat
33.0,72.4,610,1,can_bat_quat
32.7,71.2,710,1,can_bat_quat
33.1,72.9,560,1,can_bat_quat
32.6,70.7,660,1,can_bat_quat
33.4,74.0,470,1,can_bat_quat
32.5,70.4,570,1,can_bat_quat
33.2,73.4,670,1,can_bat_quat
32.8,71.7,710,1,can_bat_quat
33.5,74.4,520,1,can_bat_quat
32.5,70.2,530,1,can_bat_quat
33.1,72.6,640,1,can_bat_quat
32.8,71.4,740,1,can_bat_quat
33.3,73.1,590,1,can_bat_quat
32.7,70.9,690,1,can_bat_quat
33.6,74.2,490,1,can_bat_quat
32.6,70.6,590,1,can_bat_quat
33.4,73.6,690,1,can_bat_quat
32.9,71.9,730,1,can_bat_quat
33.7,74.6,540,1,can_bat_quat
31.4,75.1,170,1,can_bat_den_va_quat
32.0,76.4,210,1,can_bat_den_va_quat
31.7,75.8,140,1,can_bat_den_va_quat
32.2,76.9,180,1,can_bat_den_va_quat
31.6,75.4,160,1,can_bat_den_va_quat
32.1,76.7,150,1,can_bat_den_va_quat
31.5,75.2,200,1,can_bat_den_va_quat
32.3,77.1,130,1,can_bat_den_va_quat
31.8,76.0,220,1,can_bat_den_va_quat
32.4,77.4,170,1,can_bat_den_va_quat
31.5,75.3,190,1,can_bat_den_va_quat
32.1,76.6,230,1,can_bat_den_va_quat
31.8,76.0,160,1,can_bat_den_va_quat
32.3,77.2,200,1,can_bat_den_va_quat
31.7,75.6,180,1,can_bat_den_va_quat
32.2,76.9,170,1,can_bat_den_va_quat
31.6,75.4,220,1,can_bat_den_va_quat
32.4,77.3,150,1,can_bat_den_va_quat
31.9,76.2,240,1,can_bat_den_va_quat
32.5,77.6,190,1,can_bat_den_va_quat
27.4,60.4,810,1,dieu_kien_ly_tuong
26.7,58.1,710,1,dieu_kien_ly_tuong
27.1,60.9,910,1,dieu_kien_ly_tuong
26.9,59.9,760,1,dieu_kien_ly_tuong
26.4,59.4,860,1,dieu_kien_ly_tuong
27.5,60.7,830,1,dieu_kien_ly_tuong
26.6,58.4,720,1,dieu_kien_ly_tuong
27.2,61.1,920,1,dieu_kien_ly_tuong
27.0,60.1,770,1,dieu_kien_ly_tuong
26.5,59.6,870,1,dieu_kien_ly_tuong
27.5,60.6,840,1,dieu_kien_ly_tuong
26.8,58.3,740,1,dieu_kien_ly_tuong
27.3,61.2,940,1,dieu_kien_ly_tuong
27.1,60.3,790,1,dieu_kien_ly_tuong
26.6,59.8,890,1,dieu_kien_ly_tuong
27.6,60.9,860,1,dieu_kien_ly_tuong
26.7,58.6,750,1,dieu_kien_ly_tuong
27.4,61.4,950,1,dieu_kien_ly_tuong
27.2,60.5,800,1,dieu_kien_ly_tuong
26.7,60.0,900,1,dieu_kien_ly_tuong
